zone,x_upstream,y_upstream,x_core,y_core,x_downstream,y_downstream,l,l_over_xminusx0,b_over_a,detJ_upstream,traceJ_upstream,discJ_upstream,lambda1r_upstream,lambda1i_upstream,lambda2r_upstream,lambda2i_upstream,detJ_core,traceJ_core,discJ_core,lambda1r_core,lambda1i_core,lambda2r_core,lambda2i_core,detJ_downstream,traceJ_downstream,discJ_downstream,lambda1r_downstream,lambda1i_downstream,lambda2r_downstream,lambda2i_downstream,label
155,0.03435365,0.0002852035,0.0371372,0.0002852035,0.04059075,0.000336875,0.0062371,0.166446058678167,1.24069982576207,-13785800.3356789,52.2550436566055,55145931.9323033,3739.14287098535,0.0,-3686.88782732874,0.0,28086527.8752307,-20.6278938399338,-112345685.990918,-10.3139469199671,5299.66239469361,-10.3139469199671,-5299.66239469361,-7062723.55220284,-19.8244434489376,28251287.2173694,2647.68477638159,0.0,-2667.50921983053,0.0,1
1123,0.284131,-0.0006345535,0.2872405,-0.000447714,0.2903775,-0.00109633,0.0062464999999999,0.0217455442347676,1.00884386557325,-95224.8331052191,13.0787915120182,381070.387208291,315.193889975797,0.0,-302.115098463778,0.0,68866.4828616492,-15.5017799968982,-275225.626263524,-7.75088999844909,262.309753089513,-7.75088999844909,-262.309753089513,-84869.6126529612,-18.271544396579,339812.299946481,282.331335700047,0.0,-300.602880096626,0.0,0
215,0.4349295,-0.004726645,0.453125,-0.004006965,0.457778,-0.002836535,0.0228485,0.051189219313157,0.255722568767003,2855.24653921722,13.9064551772217,-11227.5966612728,6.95322758861084,52.9801770978373,6.95322758861084,-52.9801770978373,35707.6517733551,3.09935640779516,-142821.001083278,1.54967820389759,188.958329456046,1.54967820389759,-188.958329456046,-11916.3787282523,-37.4500548273112,49068.0215195778,-129.481541352541,0.0,92.0314865252295,0.0,0
172,0.04177015,0.000569356,0.0435663,0.000100952,0.0478866,0.000100952,0.00611645,0.136441483770045,2.40531136040976,-2842107.95733618,-124.959368891416,11384046.6732185,1624.53296171455,0.0,-1749.49233060596,0.0,4818106.49863613,175.36184974174,-19241674.2161997,87.6809248708697,2193.26663998017,87.6809248708697,-2193.26663998017,-4022224.83966187,1.63738436343237,16088902.039675,2006.36737269754,0.0,-2004.72998833411,0.0,1
457,0.7130345,-0.003380995,0.7153705,-0.003788535,0.72242,-0.004726645,0.0093855,0.0130766945242779,3.01776541095911,5852.16779047063,1.8335798606477,-23405.3091467772,0.916789930323842,76.4939689563451,0.916789930323842,-76.4939689563451,6250.54186401538,11.7542586609079,-24864.004859394,5.87712933045396,78.8416210820687,5.87712933045396,-78.8416210820687,-11533.6631305074,3.523439311953,46147.0671466144,109.171061831849,0.0,-105.647622519896,0.0,0
816,0.03517985,0.0002358795,0.0382744,0.000447714,0.04117865,0.0002852035,0.0059988,0.15712199689622,0.938504790680388,-11052004.7927536,225.811602333503,44259010.0507627,3439.2780762873,0.0,-3213.4664739538,0.0,34484960.9305005,-144.453892201246,-137918976.79503,-72.2269461006232,5871.94552075864,-72.2269461006232,-5871.94552075864,-7882956.01009876,4.32391898481239,31531842.7366704,2809.8230295234,0.0,-2805.49911053859,0.0,1
313,0.2425435,-0.002362975,0.248026,-0.001826055,0.267039,-0.000849364,0.0244955,0.0961394867366914,3.46794345645233,-57507.9361383093,9.39773035032461,230120.061888975,-235.155289411002,0.0,244.553019761327,0.0,134970.092239305,17.9998501599813,-539556.374351438,8.99992507999063,367.272505896997,8.99992507999063,-367.272505896997,-71986.1348803285,2.25420598931483,287949.620965956,269.431790321378,0.0,-267.177584332063,0.0,0
10,0.5293425,-0.003788535,0.5311205,-0.003380995,0.5419015,-0.004475515,0.012559,0.023447505890348,6.06355455568075,-17562.1849695941,-29.4787042410412,71117.733882107,-148.078894157108,0.0,118.600189916066,0.0,8497.99196603192,-23.519957209352,-33438.7794769979,-11.759978604676,91.4313669877547,-11.759978604676,-91.4313669877547,-29888.0497581638,-39.2464185994438,121092.480405538,-193.614933532182,0.0,154.368514932738,0.0,0
1455,0.03573485,0.0002358795,0.03913645,2e-05,0.04386885,6e-05,0.008134,0.204362360041053,1.3912276575729,-6413764.81198053,-82.2659255809631,25661826.9304338,-2574.00815367701,0.0,2491.74222809604,0.0,17642874.5255546,17.5923609057944,-70571188.6110564,8.79618045289718,4200.3329811771,8.79618045289718,-4200.3329811771,-5086436.43693127,40.8586387629768,20347415.1760866,2275.83478049522,0.0,-2234.97614173225,0.0,1
409,0.3142775,-0.00170672,0.348319,-0.002362975,0.3922355,-0.003191005,0.077958,0.220683837381619,1.29008709956964,-53116.0173594963,13.5502528049326,212647.678789063,237.343813993097,0.0,-223.793561188164,0.0,121221.143595925,1.23153849788595,-484883.057696627,0.615769248942975,348.167724558375,0.615769248942975,-348.167724558375,-41626.2333944773,-2.6597443016572,166512.007817659,202.6995422835,0.0,-205.359286585157,0.0,1
300,0.0292919,0.0002358795,0.0321868,0.0002852035,0.03517985,0.0002358795,0.00588795,0.182652091807652,1.03390445265812,-11103913.3335324,56.7166563716332,44418870.1132394,3360.73248609634,0.0,-3304.0158297247,0.0,7890236.99328062,-88.4650712747188,-31553121.9042868,-44.2325356373593,2808.60828099465,-44.2325356373593,-2808.60828099465,-5666323.30089223,98.6342693541345,22675021.9226599,2430.23197579696,0.0,-2331.59770644283,0.0,1
201,0.1572035,0.000447714,0.1585005,0.000447714,0.161119,0.0002358795,0.0039155,0.0246008372012661,2.01888974556672,-13176.6323770789,19.2808339935053,53078.2800678006,-105.553202691797,0.0,124.834036685302,0.0,102656.124178473,-53.1308802375583,-407801.606279076,-26.5654401187792,319.296729657178,-26.5654401187792,-319.296729657178,-135993.248570772,-1.76487100940747,543976.109052768,367.891244769787,0.0,-369.656115779194,0.0,0
